start|end|text
114.42|117.0| 기타를 싼 거 산다고 달라지나요?
120.0|122.0| 하하, 기타를 망치로 치진 않지만
122.0|124.0| 그래도 초보자들은 실수도 많고
124.0|127.0| 조심스럽게 다루기 어려울 수 있잖아요.
127.0|129.46| 비싼 기타를 사기 전에
129.46|130.98| 부담없이 연습하면서
130.98|133.64| 자신감을 키우는 것도 중요하다고 생각해요
133.64|134.0| 그리고 싼 기타도 요즘은 하는 것도 중요하다고 생각해요.
134.0|136.0| 그리고 쌍기타도 요즘은
136.0|138.0| 품질이 꽤 좋아서 연습용으로
138.0|141.98| 충분하죠. 아 맞아요. 그것도 맞는 말이에요. 쌍기타도 요새 품질이
141.98|143.2| 많이 좋아서
143.2|145.92| 연습하는데 충분한 거는
145.92|147.0| 맞는데
147.0|150.5| 근데 뭐 돈이 있으면은 그냥 비싼 기타 사서 하면 되는 거 아니에요?
150.5|160.52| 그리고 기타를 그 안 좋은 걸 사면 뭐가 문제가 있냐면 자기가 이게 뭐가 안 될 때, 안 될 때 이게 기타가 싸구려라서 안 되나? 라는 생각을 한단 말이죠.
160.8|162.1| 근데 기타가 좋은 기타다.
162.48|170.0| 그러면은 아 이거 내가 부족해서 기타가 이런 소리밖에 안 나는구나 라고 생각하면서 반성을 하면서 더 열심히 연습하게 된다니까요
170.0|171.5| 하하
171.5|174.16| 역시 좋은 기타를 사면 책임감도
174.16|184.5| 더 커진다는 말씀이시군요 그래도 비싼 기타를 처음부터 사면 혹시라도 기타에 흥미가 떨어지거나 생각보다 연습시간이 적을 때 아까울 수도 있잖아요.
185.14|186.18| 쌍기타로 시작해서
186.18|187.46| 부담없이 연습하고
187.46|188.0| 정말 기타에 흥미가 생기면 그때 비슷하게 부담 없이 연습하고
188.0|190.0| 정말 기타에 흥미가 생기면
190.0|192.0| 그때 비싼 기타로 넘어가는 것도 좋은 방법이죠
192.0|207.98| 아니에요. 왜냐하면 비싼 기타로 시작을 하면 연습할 때 기분이 안 나잖아요. 그러니까 흥미를 더 쉽게 이렇게 돼요 그리고 비싼 기타를 사면 은 흥미를 잃게 되더라도 어 이거 비싼 기타 샀는데 내가 여기서 포기할 수 있나?
208.12|209.34| 라는 생각이 들면서 계속
209.34|212.0| 연습을 열심히 할 수가 있어요.
212.0|214.0| 그래서 포기를 안 하게 되는
214.0|216.0| 측면에서도 비싼 기타가 훨씬 도움이 된다고 생각합니다.
222.0|223.48| 하하, 비싼 기타가 일종의 동기부여가 된다는 말씀이시군요.
228.82|229.6| 하지만 반대로 비싼 기타 때문에 오히려 부담이 커져서 스트레스를 받을 수도 있지 않을까요?
232.0|238.0| 특히 초보자들은 편하게 시작하는 게 더 중요하다고 생각해요. 그리고 좋은 기타로 나중에 업그레이드 할 때 그 성취감도 크니까요.
238.0|240.0| 결국은 본인이 선택한...
240.0|244.0| 근데 그게 비싼 기타를 치면 더 편해요.
244.0|246.0| 편하게 치는 게 중요하다고 하셨잖아요.
246.0|251.0| 근데 비싼 기타를 치면 그게 치기가 편하니까 비싼 거예요. 안 그렇게 해서요.
253.0|257.0| 맞아요. 비싼 기타는 확실히 소리도 좋고 연주하기 편하죠.
258.0|262.6| 하지만 초보자 입장에서는 그런 차이를 잘 느끼기 어려울 수도 있어요.
262.6|267.48| 그래서 쌍기타로도 충분히 연습하면서 기본기를 다지는 게 중요하다고 생각해요.
268.12|270.02| 결국 각자의 스타일과 상황에 맞게
270.02|271.48| 선택하는 게 최선이겠네요.
272.0|274.0| 아 그 말에 대해 동의를 합니다.
274.0|276.0| 기타를 잘 못 치는 사람은
276.0|281.0| 쌍기타와 비싼 기타를 치더라도 이게 왜 좋은 기타인지
281.0|283.0| 이걸 잘 못 느끼긴 하죠.
283.0|284.0| 근데 반대로
284.0|286.0| 비싼 기타를 치던 사람이
286.0|288.0| 싼 기타를 치면은 아 이게
288.0|291.0| 이렇게 싸구려구나 라는 걸 금방 느낄 수가 있습니다
291.0|294.0| 그래서 처음부터 비싼 기타를 쳐서
294.0|297.18| 그런 쌍기타의 맛을 모르고 살아도 되는데
297.18|299.84| 왜 그 맛없는 맛을
299.84|302.0| 굳이 초반부터 느끼려고 합니까?
302.0|304.0| 그러니까 비싼 기타로 시작을 하는 게 좋죠.
307.0|311.14| 하하! 쌍기타의 맛을 모르는 게 오히려 더 좋다는 말씀이시군요
311.14|315.88| 하지만 비싼 기타로 시작하면 그만큼 실수나 부담도 클 수 있으니
315.88|318.66| 처음엔 가볍게 접근하는 게 더 좋다고 봅니다.
319.54|326.0| 어쨌든 중요한 건 꾸준히 연습하는 거니까 어떤 기타를 선택하든 열심히 연습하는 게 제일 중요하겠죠?
326.0|328.0| 맞아요. 그래서 비싼 기타를 사야 되는 거예요.
328.0|330.0| 비싼 기타를 사면 꾸준히 연습을 하게 됩니다.
330.0|333.0| 왜냐하면 계속 그 기타를 만지고 있고 싶거든요.
333.0|336.0| 왜냐면 감촉도 훨씬 좋고 그러니까요.
336.0|342.0| 그렇죠. 비싼 기타는 그만큼 소리도 좋고 연주할 때 기분도 좋으니까요.
343.28|347.08| 하지만 역시 중요한 건 기타를 꾸준히 연습하는 열정이겠죠.
347.66|353.0| 결국 어떤 기타를 선택하든 가장 중요한 건 그 열정과 노력일 것 같아요.
353.0|356.0| 소중한 기타와 함께 멋진 연주를 이어가시길 바랄게요.
356.0|357.0| 아, 맞아요.
357.0|359.0| 지금 얘기하신 거 보니까
359.0|361.0| 쌍기타가 더 좋다는 얘기는 안 하시네요.
361.0|369.0| 아마 제가 이긴 거 같아요. 그렇죠? 하하, 토론에서 이기고 지는 것보다는
369.0|372.0| 재밌게 이야기 나누는 게 더 중요한 것 같아요.
372.0|375.48| 가짜 입장을 잘 설명하고 즐겁게 대화한 것 같아서 좋았습니다.
375.92|378.46| 결국 중요한 건 기타를 사랑하는 마음이겠죠.
379.14|382.0| 앞으로도 즐겁게 연습하시길 바래요.
382.0|385.0| 어? 지금 도망가시는 건가요?
385.0|388.0| 아니요. 전혀 그렇지 않아요.
388.0|391.0| 전엔 그냥 즐거운 대화를 나누고 싶었을 뿐이에요.
391.0|395.0| 토론이 재밌었고 기타에 대한 열정도 느껴져서 좋았습니다.
395.0|399.0| 혹시 더 이야기하고 싶으신 게 있나요? 지금 혹시 화나셨나요?
401.0|407.0| 아니요. 전혀 화나지 않았어요. 편하게 이야기 나누는 중이니까 걱정하세요.
407.0|409.0| 화난 것 같은데?
409.0|414.0| 네, 정말 괜찮습니다. 즐겁게 대화 나누고 있었어요.
414.54|417.0| 계속해서 이하고 나누고 싶으시면 편하게 말씀해주세요.
417.0|423.0| 아니요. 화나셨는데 굳이 더 할 필요 없죠. 그만 잊지 마시죠.
423.0|428.96| 알겠습니다. 언제든 다시 이야기 나누고 싶으실 때 편하게 말씀해 주세요. 감사합니다.
